sample_id,sample_type,source,tif_path,x,y,valid_ratio,change_ratio,change_pixels,valid_pixels
jrc_tmf_2020_2023_amazon_guyana_01_stable_000768_005632,positive,jrc_tmf_2020_2023_amazon_guyana_01_stable,/Users/zhoujinghe/Documents/Codex/2026-04-28/eagle-fno-v8-1-stability-release/TMF_exports/jrc_tmf_2020_2023_amazon_guyana_01_stable.tif,5632,768,0.9835205078125,0.005166315005585205,333,64456
jrc_tmf_2020_2023_amazon_brazil_02_stable_004864_004864,positive,jrc_tmf_2020_2023_amazon_brazil_02_stable,/Users/zhoujinghe/Documents/Codex/2026-04-28/eagle-fno-v8-1-stability-release/TMF_exports/jrc_tmf_2020_2023_amazon_brazil_02_stable.tif,4864,4864,0.8543701171875,0.10681883126160881,5981,55992
jrc_tmf_2020_2023_se_asia_borneo_02_stable_000512_000768,negative,jrc_tmf_2020_2023_se_asia_borneo_02_stable,/Users/zhoujinghe/Documents/Codex/2026-04-28/eagle-fno-v8-1-stability-release/TMF_exports/jrc_tmf_2020_2023_se_asia_borneo_02_stable.tif,768,512,1.0,0.0,0,65536
jrc_tmf_2020_2023_se_asia_borneo_01_002560_002816,positive,jrc_tmf_2020_2023_se_asia_borneo_01,/Users/zhoujinghe/Documents/Codex/2026-04-28/eagle-fno-v8-1-stability-release/TMF_exports/jrc_tmf_2020_2023_se_asia_borneo_01.tif,2816,2560,0.9997406005859375,0.0062119385216502085,407,65519
jrc_tmf_2020_2023_congo_drc_01_002560_004352,positive,jrc_tmf_2020_2023_congo_drc_01,/Users/zhoujinghe/Documents/Codex/2026-04-28/eagle-fno-v8-1-stability-release/TMF_exports/jrc_tmf_2020_2023_congo_drc_01.tif,4352,2560,0.97503662109375,0.004491392801251957,287,63900
jrc_tmf_2020_2023_se_asia_borneo_02_stable_000000_003328,positive,jrc_tmf_2020_2023_se_asia_borneo_02_stable,/Users/zhoujinghe/Documents/Codex/2026-04-28/eagle-fno-v8-1-stability-release/TMF_exports/jrc_tmf_2020_2023_se_asia_borneo_02_stable.tif,3328,0,0.97479248046875,0.004148143510112078,265,63884
jrc_tmf_2020_2023_congo_drc_01_001024_000256,positive,jrc_tmf_2020_2023_congo_drc_01,/Users/zhoujinghe/Documents/Codex/2026-04-28/eagle-fno-v8-1-stability-release/TMF_exports/jrc_tmf_2020_2023_congo_drc_01.tif,256,1024,0.9990997314453125,0.0023672434595354095,155,65477
jrc_tmf_2020_2023_se_asia_papua_01_stable_002048_004352,negative,jrc_tmf_2020_2023_se_asia_papua_01_stable,/Users/zhoujinghe/Documents/Codex/2026-04-28/eagle-fno-v8-1-stability-release/TMF_exports/jrc_tmf_2020_2023_se_asia_papua_01_stable.tif,4352,2048,1.0,0.0,0,65536
jrc_tmf_2020_2023_se_asia_borneo_01_006400_000000,positive,jrc_tmf_2020_2023_se_asia_borneo_01,/Users/zhoujinghe/Documents/Codex/2026-04-28/eagle-fno-v8-1-stability-release/TMF_exports/jrc_tmf_2020_2023_se_asia_borneo_01.tif,0,6400,0.8395538330078125,0.038803365987532035,2135,55021
jrc_tmf_2020_2023_se_asia_papua_01_stable_003840_002048,positive,jrc_tmf_2020_2023_se_asia_papua_01_stable,/Users/zhoujinghe/Documents/Codex/2026-04-28/eagle-fno-v8-1-stability-release/TMF_exports/jrc_tmf_2020_2023_se_asia_papua_01_stable.tif,2048,3840,0.866119384765625,0.01906204855360981,1082,56762
