audit_id,sample_id,reviewer1_status,reviewer2_status,status_agreement,reviewer1_notes,reviewer2_notes,final_status,final_visual_quality,final_label_alignment,final_cloud_shadow_issue,final_water_issue,final_boundary_confidence,adjudicator,adjudication_date,final_notes
audit_0001,jrc_tmf_2020_2023_amazon_bolivia_01_002048_005120,,,,,,,,,,,,,,
audit_0002,jrc_tmf_2020_2023_amazon_bolivia_01_002048_000512,,,,,,,,,,,,,,
audit_0003,jrc_tmf_2020_2023_amazon_bolivia_01_001024_000512,,,,,,,,,,,,,,
audit_0004,jrc_tmf_2020_2023_amazon_bolivia_01_001280_004864,,,,,,,,,,,,,,
audit_0005,jrc_tmf_2020_2023_amazon_brazil_01_005120_000000,,,,,,,,,,,,,,
audit_0006,jrc_tmf_2020_2023_amazon_brazil_01_002048_006912,,,,,,,,,,,,,,
audit_0007,jrc_tmf_2020_2023_amazon_brazil_01_000768_003328,,,,,,,,,,,,,,
audit_0008,jrc_tmf_2020_2023_amazon_brazil_01_004608_006912,,,,,,,,,,,,,,
audit_0009,jrc_tmf_2020_2023_amazon_brazil_01_001536_004352,,,,,,,,,,,,,,
audit_0010,jrc_tmf_2020_2023_amazon_brazil_01_004608_006144,,,,,,,,,,,,,,
audit_0011,jrc_tmf_2020_2023_amazon_brazil_02_stable_004608_005120,,,,,,,,,,,,,,
audit_0012,jrc_tmf_2020_2023_amazon_brazil_02_stable_006400_000768,,,,,,,,,,,,,,
audit_0013,jrc_tmf_2020_2023_amazon_brazil_02_stable_006400_002560,,,,,,,,,,,,,,
audit_0014,jrc_tmf_2020_2023_amazon_colombia_01_002816_003328,,,,,,,,,,,,,,
audit_0015,jrc_tmf_2020_2023_amazon_colombia_01_006656_003584,,,,,,,,,,,,,,
audit_0016,jrc_tmf_2020_2023_amazon_colombia_01_003072_003840,,,,,,,,,,,,,,
audit_0017,jrc_tmf_2020_2023_amazon_colombia_01_002304_005376,,,,,,,,,,,,,,
audit_0018,jrc_tmf_2020_2023_amazon_colombia_01_000256_005120,,,,,,,,,,,,,,
audit_0019,jrc_tmf_2020_2023_amazon_colombia_01_003584_005632,,,,,,,,,,,,,,
audit_0020,jrc_tmf_2020_2023_amazon_colombia_02_stable_002304_000256,,,,,,,,,,,,,,
audit_0021,jrc_tmf_2020_2023_amazon_colombia_02_stable_004352_005632,,,,,,,,,,,,,,
audit_0022,jrc_tmf_2020_2023_amazon_colombia_02_stable_003584_000256,,,,,,,,,,,,,,
audit_0023,jrc_tmf_2020_2023_amazon_colombia_02_stable_005888_002560,,,,,,,,,,,,,,
audit_0024,jrc_tmf_2020_2023_amazon_colombia_02_stable_006144_002304,,,,,,,,,,,,,,
audit_0025,jrc_tmf_2020_2023_amazon_colombia_02_stable_007168_000768,,,,,,,,,,,,,,
audit_0026,jrc_tmf_2020_2023_amazon_guyana_01_stable_005888_005888,,,,,,,,,,,,,,
audit_0027,jrc_tmf_2020_2023_amazon_guyana_01_stable_003072_005888,,,,,,,,,,,,,,
audit_0028,jrc_tmf_2020_2023_amazon_guyana_01_stable_002048_005120,,,,,,,,,,,,,,
audit_0029,jrc_tmf_2020_2023_amazon_guyana_01_stable_000256_003840,,,,,,,,,,,,,,
audit_0030,jrc_tmf_2020_2023_amazon_guyana_01_stable_000000_001792,,,,,,,,,,,,,,
audit_0031,jrc_tmf_2020_2023_amazon_guyana_01_stable_000768_003584,,,,,,,,,,,,,,
audit_0032,jrc_tmf_2020_2023_amazon_peru_01_001536_003840,,,,,,,,,,,,,,
audit_0033,jrc_tmf_2020_2023_amazon_peru_01_006400_003840,,,,,,,,,,,,,,
audit_0034,jrc_tmf_2020_2023_amazon_peru_01_005376_006656,,,,,,,,,,,,,,
audit_0035,jrc_tmf_2020_2023_amazon_peru_01_000512_004096,,,,,,,,,,,,,,
audit_0036,jrc_tmf_2020_2023_amazon_peru_01_000000_004096,,,,,,,,,,,,,,
audit_0037,jrc_tmf_2020_2023_amazon_peru_01_001792_000000,,,,,,,,,,,,,,
audit_0038,jrc_tmf_2020_2023_amazon_peru_02_stable_001024_000256,,,,,,,,,,,,,,
audit_0039,jrc_tmf_2020_2023_amazon_peru_02_stable_000512_005376,,,,,,,,,,,,,,
audit_0040,jrc_tmf_2020_2023_amazon_peru_02_stable_001024_001024,,,,,,,,,,,,,,
audit_0041,jrc_tmf_2020_2023_amazon_peru_02_stable_004352_006656,,,,,,,,,,,,,,
audit_0042,jrc_tmf_2020_2023_amazon_peru_02_stable_004608_005632,,,,,,,,,,,,,,
audit_0043,jrc_tmf_2020_2023_amazon_peru_02_stable_004608_006656,,,,,,,,,,,,,,
audit_0044,jrc_tmf_2020_2023_congo_cameroon_01_006144_002816,,,,,,,,,,,,,,
audit_0045,jrc_tmf_2020_2023_congo_cameroon_01_004864_003328,,,,,,,,,,,,,,
audit_0046,jrc_tmf_2020_2023_congo_cameroon_01_006912_001280,,,,,,,,,,,,,,
audit_0047,jrc_tmf_2020_2023_congo_cameroon_01_002048_001536,,,,,,,,,,,,,,
audit_0048,jrc_tmf_2020_2023_congo_cameroon_01_000256_005376,,,,,,,,,,,,,,
audit_0049,jrc_tmf_2020_2023_congo_cameroon_01_000512_004608,,,,,,,,,,,,,,
audit_0050,jrc_tmf_2020_2023_congo_drc_01_002304_005632,,,,,,,,,,,,,,
audit_0051,jrc_tmf_2020_2023_congo_drc_01_000000_002816,,,,,,,,,,,,,,
audit_0052,jrc_tmf_2020_2023_congo_drc_01_004864_005632,,,,,,,,,,,,,,
audit_0053,jrc_tmf_2020_2023_congo_drc_01_006144_004864,,,,,,,,,,,,,,
audit_0054,jrc_tmf_2020_2023_congo_drc_01_001280_001536,,,,,,,,,,,,,,
audit_0055,jrc_tmf_2020_2023_congo_drc_01_005120_000000,,,,,,,,,,,,,,
audit_0056,jrc_tmf_2020_2023_congo_drc_02_stable_006400_002560,,,,,,,,,,,,,,
audit_0057,jrc_tmf_2020_2023_congo_drc_02_stable_006400_006656,,,,,,,,,,,,,,
audit_0058,jrc_tmf_2020_2023_congo_drc_02_stable_000512_005632,,,,,,,,,,,,,,
audit_0059,jrc_tmf_2020_2023_congo_drc_02_stable_000768_001536,,,,,,,,,,,,,,
audit_0060,jrc_tmf_2020_2023_congo_drc_02_stable_003840_004608,,,,,,,,,,,,,,
audit_0061,jrc_tmf_2020_2023_congo_drc_02_stable_000256_005632,,,,,,,,,,,,,,
audit_0062,jrc_tmf_2020_2023_congo_gabon_01_001536_002048,,,,,,,,,,,,,,
audit_0063,jrc_tmf_2020_2023_congo_gabon_01_001536_001792,,,,,,,,,,,,,,
audit_0064,jrc_tmf_2020_2023_congo_gabon_01_001280_004352,,,,,,,,,,,,,,
audit_0065,jrc_tmf_2020_2023_congo_gabon_01_005120_003584,,,,,,,,,,,,,,
audit_0066,jrc_tmf_2020_2023_congo_gabon_01_006144_002304,,,,,,,,,,,,,,
audit_0067,jrc_tmf_2020_2023_congo_gabon_01_002304_005376,,,,,,,,,,,,,,
audit_0068,jrc_tmf_2020_2023_congo_gabon_02_stable_005376_001280,,,,,,,,,,,,,,
audit_0069,jrc_tmf_2020_2023_congo_gabon_02_stable_006400_004096,,,,,,,,,,,,,,
audit_0070,jrc_tmf_2020_2023_congo_gabon_02_stable_004864_001024,,,,,,,,,,,,,,
audit_0071,jrc_tmf_2020_2023_congo_gabon_02_stable_002560_003072,,,,,,,,,,,,,,
audit_0072,jrc_tmf_2020_2023_congo_gabon_02_stable_005376_006656,,,,,,,,,,,,,,
audit_0073,jrc_tmf_2020_2023_congo_gabon_02_stable_007168_001024,,,,,,,,,,,,,,
audit_0074,jrc_tmf_2020_2023_congo_roc_01_stable_000256_004864,,,,,,,,,,,,,,
audit_0075,jrc_tmf_2020_2023_congo_roc_01_stable_005888_005888,,,,,,,,,,,,,,
audit_0076,jrc_tmf_2020_2023_congo_roc_01_stable_002304_004352,,,,,,,,,,,,,,
audit_0077,jrc_tmf_2020_2023_congo_roc_01_stable_006656_002816,,,,,,,,,,,,,,
audit_0078,jrc_tmf_2020_2023_congo_roc_01_stable_004352_005632,,,,,,,,,,,,,,
audit_0079,jrc_tmf_2020_2023_congo_roc_01_stable_001792_000512,,,,,,,,,,,,,,
audit_0080,jrc_tmf_2020_2023_se_asia_borneo_01_001792_005376,,,,,,,,,,,,,,
audit_0081,jrc_tmf_2020_2023_se_asia_borneo_01_000768_005888,,,,,,,,,,,,,,
audit_0082,jrc_tmf_2020_2023_se_asia_borneo_01_000256_002048,,,,,,,,,,,,,,
audit_0083,jrc_tmf_2020_2023_se_asia_borneo_01_004864_002048,,,,,,,,,,,,,,
audit_0084,jrc_tmf_2020_2023_se_asia_borneo_01_003584_002560,,,,,,,,,,,,,,
audit_0085,jrc_tmf_2020_2023_se_asia_borneo_01_005120_001024,,,,,,,,,,,,,,
audit_0086,jrc_tmf_2020_2023_se_asia_borneo_02_stable_005888_001280,,,,,,,,,,,,,,
audit_0087,jrc_tmf_2020_2023_se_asia_borneo_02_stable_001280_000000,,,,,,,,,,,,,,
audit_0088,jrc_tmf_2020_2023_se_asia_borneo_02_stable_003328_000000,,,,,,,,,,,,,,
audit_0089,jrc_tmf_2020_2023_se_asia_borneo_02_stable_003840_005632,,,,,,,,,,,,,,
audit_0090,jrc_tmf_2020_2023_se_asia_borneo_02_stable_001024_003840,,,,,,,,,,,,,,
audit_0091,jrc_tmf_2020_2023_se_asia_borneo_02_stable_004864_005632,,,,,,,,,,,,,,
audit_0092,jrc_tmf_2020_2023_se_asia_papua_01_stable_002560_004864,,,,,,,,,,,,,,
audit_0093,jrc_tmf_2020_2023_se_asia_papua_01_stable_002304_006656,,,,,,,,,,,,,,
audit_0094,jrc_tmf_2020_2023_se_asia_papua_01_stable_002048_003584,,,,,,,,,,,,,,
audit_0095,jrc_tmf_2020_2023_se_asia_papua_01_stable_004352_003840,,,,,,,,,,,,,,
audit_0096,jrc_tmf_2020_2023_se_asia_papua_01_stable_003840_004352,,,,,,,,,,,,,,
audit_0097,jrc_tmf_2020_2023_se_asia_papua_01_stable_004864_003840,,,,,,,,,,,,,,
audit_0098,jrc_tmf_2020_2023_se_asia_sumatra_01_005632_005376,,,,,,,,,,,,,,
audit_0099,jrc_tmf_2020_2023_se_asia_sumatra_01_003072_000000,,,,,,,,,,,,,,
audit_0100,jrc_tmf_2020_2023_se_asia_sumatra_01_000000_006400,,,,,,,,,,,,,,
audit_0101,jrc_tmf_2020_2023_se_asia_sumatra_01_004864_005120,,,,,,,,,,,,,,
audit_0102,jrc_tmf_2020_2023_se_asia_sumatra_01_002560_000000,,,,,,,,,,,,,,
audit_0103,jrc_tmf_2020_2023_se_asia_sumatra_01_005632_000512,,,,,,,,,,,,,,
audit_0104,jrc_tmf_2020_2023_se_asia_sumatra_02_stable_004608_001792,,,,,,,,,,,,,,
audit_0105,jrc_tmf_2020_2023_se_asia_sumatra_02_stable_004608_001280,,,,,,,,,,,,,,
audit_0106,jrc_tmf_2020_2023_se_asia_sumatra_02_stable_003072_002560,,,,,,,,,,,,,,
audit_0107,jrc_tmf_2020_2023_se_asia_sumatra_02_stable_006400_003840,,,,,,,,,,,,,,
audit_0108,jrc_tmf_2020_2023_congo_gabon_02_stable_006400_000256,,,,,,,,,,,,,,
audit_0109,jrc_tmf_2020_2023_congo_roc_01_stable_000000_004608,,,,,,,,,,,,,,
audit_0110,jrc_tmf_2020_2023_se_asia_borneo_02_stable_003584_001536,,,,,,,,,,,,,,
audit_0111,jrc_tmf_2020_2023_se_asia_papua_01_stable_001280_000768,,,,,,,,,,,,,,
audit_0112,jrc_tmf_2020_2023_amazon_guyana_01_stable_002304_006400,,,,,,,,,,,,,,
audit_0113,jrc_tmf_2020_2023_se_asia_borneo_02_stable_003072_001024,,,,,,,,,,,,,,
audit_0114,jrc_tmf_2020_2023_se_asia_papua_01_stable_001792_004352,,,,,,,,,,,,,,
audit_0115,jrc_tmf_2020_2023_se_asia_borneo_01_003328_000512,,,,,,,,,,,,,,
audit_0116,jrc_tmf_2020_2023_se_asia_sumatra_01_005888_006400,,,,,,,,,,,,,,
audit_0117,jrc_tmf_2020_2023_congo_cameroon_01_001536_001280,,,,,,,,,,,,,,
audit_0118,jrc_tmf_2020_2023_se_asia_sumatra_02_stable_005632_002304,,,,,,,,,,,,,,
audit_0119,jrc_tmf_2020_2023_amazon_brazil_01_002560_003072,,,,,,,,,,,,,,
audit_0120,jrc_tmf_2020_2023_congo_gabon_01_006912_003584,,,,,,,,,,,,,,
audit_0121,jrc_tmf_2020_2023_amazon_peru_02_stable_007168_003328,,,,,,,,,,,,,,
audit_0122,jrc_tmf_2020_2023_se_asia_sumatra_02_stable_004608_002816,,,,,,,,,,,,,,
audit_0123,jrc_tmf_2020_2023_amazon_brazil_02_stable_004352_001280,,,,,,,,,,,,,,
audit_0124,jrc_tmf_2020_2023_amazon_colombia_02_stable_000768_004096,,,,,,,,,,,,,,
audit_0125,jrc_tmf_2020_2023_congo_drc_01_006656_005376,,,,,,,,,,,,,,
audit_0126,jrc_tmf_2020_2023_amazon_colombia_01_006912_006144,,,,,,,,,,,,,,
audit_0127,jrc_tmf_2020_2023_amazon_peru_01_006656_002304,,,,,,,,,,,,,,
audit_0128,jrc_tmf_2020_2023_congo_roc_01_stable_002304_004096,,,,,,,,,,,,,,
audit_0129,jrc_tmf_2020_2023_amazon_colombia_02_stable_002304_000768,,,,,,,,,,,,,,
audit_0130,jrc_tmf_2020_2023_congo_drc_01_001024_005888,,,,,,,,,,,,,,
audit_0131,jrc_tmf_2020_2023_congo_roc_01_stable_003072_006912,,,,,,,,,,,,,,
audit_0132,jrc_tmf_2020_2023_amazon_brazil_01_000512_003584,,,,,,,,,,,,,,
audit_0133,jrc_tmf_2020_2023_amazon_peru_02_stable_003072_001280,,,,,,,,,,,,,,
audit_0134,jrc_tmf_2020_2023_se_asia_borneo_02_stable_006912_000512,,,,,,,,,,,,,,
audit_0135,jrc_tmf_2020_2023_amazon_peru_02_stable_000512_000256,,,,,,,,,,,,,,
audit_0136,jrc_tmf_2020_2023_amazon_brazil_01_003840_001536,,,,,,,,,,,,,,
audit_0137,jrc_tmf_2020_2023_congo_cameroon_01_003328_006144,,,,,,,,,,,,,,
audit_0138,jrc_tmf_2020_2023_se_asia_papua_01_stable_004608_001536,,,,,,,,,,,,,,
audit_0139,jrc_tmf_2020_2023_amazon_peru_01_004096_001792,,,,,,,,,,,,,,
audit_0140,jrc_tmf_2020_2023_congo_cameroon_01_004352_003840,,,,,,,,,,,,,,
audit_0141,jrc_tmf_2020_2023_amazon_colombia_01_001024_003840,,,,,,,,,,,,,,
audit_0142,jrc_tmf_2020_2023_se_asia_borneo_02_stable_001280_002816,,,,,,,,,,,,,,
audit_0143,jrc_tmf_2020_2023_amazon_brazil_02_stable_003840_000000,,,,,,,,,,,,,,
audit_0144,jrc_tmf_2020_2023_congo_drc_01_002816_001280,,,,,,,,,,,,,,
audit_0145,jrc_tmf_2020_2023_congo_drc_02_stable_006400_001280,,,,,,,,,,,,,,
audit_0146,jrc_tmf_2020_2023_se_asia_borneo_01_005120_003840,,,,,,,,,,,,,,
audit_0147,jrc_tmf_2020_2023_se_asia_papua_01_stable_004864_001792,,,,,,,,,,,,,,
audit_0148,jrc_tmf_2020_2023_amazon_colombia_01_005888_003328,,,,,,,,,,,,,,
audit_0149,jrc_tmf_2020_2023_amazon_colombia_02_stable_002304_001792,,,,,,,,,,,,,,
audit_0150,jrc_tmf_2020_2023_amazon_peru_02_stable_004352_003584,,,,,,,,,,,,,,
audit_0151,jrc_tmf_2020_2023_amazon_peru_01_000768_006656,,,,,,,,,,,,,,
audit_0152,jrc_tmf_2020_2023_amazon_peru_02_stable_004096_003584,,,,,,,,,,,,,,
audit_0153,jrc_tmf_2020_2023_congo_gabon_02_stable_005632_001280,,,,,,,,,,,,,,
audit_0154,jrc_tmf_2020_2023_amazon_colombia_01_006912_001536,,,,,,,,,,,,,,
audit_0155,jrc_tmf_2020_2023_amazon_peru_02_stable_004096_003328,,,,,,,,,,,,,,
audit_0156,jrc_tmf_2020_2023_se_asia_papua_01_stable_001792_005376,,,,,,,,,,,,,,
audit_0157,jrc_tmf_2020_2023_amazon_colombia_02_stable_000000_000512,,,,,,,,,,,,,,
audit_0158,jrc_tmf_2020_2023_amazon_brazil_01_003072_002816,,,,,,,,,,,,,,
audit_0159,jrc_tmf_2020_2023_se_asia_borneo_02_stable_006912_001536,,,,,,,,,,,,,,
audit_0160,jrc_tmf_2020_2023_se_asia_papua_01_stable_003840_001280,,,,,,,,,,,,,,
audit_0161,jrc_tmf_2020_2023_congo_drc_01_000000_001792,,,,,,,,,,,,,,
audit_0162,jrc_tmf_2020_2023_se_asia_borneo_02_stable_002304_004864,,,,,,,,,,,,,,
audit_0163,jrc_tmf_2020_2023_se_asia_borneo_02_stable_007168_005888,,,,,,,,,,,,,,
audit_0164,jrc_tmf_2020_2023_congo_roc_01_stable_006400_002304,,,,,,,,,,,,,,
audit_0165,jrc_tmf_2020_2023_amazon_peru_01_001280_000000,,,,,,,,,,,,,,
audit_0166,jrc_tmf_2020_2023_amazon_brazil_02_stable_005888_005376,,,,,,,,,,,,,,
audit_0167,jrc_tmf_2020_2023_congo_gabon_01_006400_000512,,,,,,,,,,,,,,
audit_0168,jrc_tmf_2020_2023_se_asia_sumatra_02_stable_004864_002816,,,,,,,,,,,,,,
audit_0169,jrc_tmf_2020_2023_amazon_brazil_01_003328_006656,,,,,,,,,,,,,,
audit_0170,jrc_tmf_2020_2023_congo_drc_01_006400_001024,,,,,,,,,,,,,,
audit_0171,jrc_tmf_2020_2023_amazon_guyana_01_stable_004096_005632,,,,,,,,,,,,,,
audit_0172,jrc_tmf_2020_2023_congo_drc_01_006912_002816,,,,,,,,,,,,,,
audit_0173,jrc_tmf_2020_2023_congo_gabon_01_000512_005376,,,,,,,,,,,,,,
audit_0174,jrc_tmf_2020_2023_amazon_colombia_01_001536_005632,,,,,,,,,,,,,,
audit_0175,jrc_tmf_2020_2023_amazon_brazil_01_006144_003072,,,,,,,,,,,,,,
audit_0176,jrc_tmf_2020_2023_amazon_colombia_01_000512_003584,,,,,,,,,,,,,,
audit_0177,jrc_tmf_2020_2023_amazon_brazil_01_000768_006400,,,,,,,,,,,,,,
audit_0178,jrc_tmf_2020_2023_amazon_brazil_02_stable_006912_000256,,,,,,,,,,,,,,
audit_0179,jrc_tmf_2020_2023_amazon_bolivia_01_001280_001792,,,,,,,,,,,,,,
audit_0180,jrc_tmf_2020_2023_se_asia_borneo_01_005376_004864,,,,,,,,,,,,,,
audit_0181,jrc_tmf_2020_2023_se_asia_borneo_01_005632_006656,,,,,,,,,,,,,,
audit_0182,jrc_tmf_2020_2023_amazon_bolivia_01_001280_002048,,,,,,,,,,,,,,
