audit_id,sample_id,split,sample_type,source,roi,x,y,valid_ratio,change_ratio,change_pixels,valid_pixels,valid_band,change_band,A_path,B_path,label_path,contact_sheet_path,audit_status,visual_quality,label_alignment,cloud_shadow_issue,water_issue,boundary_confidence,reviewer,review_date,notes
audit_0001,jrc_tmf_2020_2023_amazon_bolivia_01_002048_005120,train,negative,jrc_tmf_2020_2023_amazon_bolivia_01,amazon_bolivia_01,5120,2048,0.9989929199,0.0000000000,0,65470,valid_0.99_1.00,change_0,data/JRC_TMF_256_5000/A/jrc_tmf_2020_2023_amazon_bolivia_01_002048_005120.png,data/JRC_TMF_256_5000/B/jrc_tmf_2020_2023_amazon_bolivia_01_002048_005120.png,data/JRC_TMF_256_5000/label/jrc_tmf_2020_2023_amazon_bolivia_01_002048_005120.png,quality_report/human_audit_contact_sheets/audit_0001_jrc_tmf_2020_2023_amazon_bolivia_01_002048_005120.png,,,,,,,reviewer1,,
audit_0002,jrc_tmf_2020_2023_amazon_bolivia_01_002048_000512,train,positive,jrc_tmf_2020_2023_amazon_bolivia_01,amazon_bolivia_01,512,2048,0.9945068359,0.0044801768,292,65176,valid_0.99_1.00,change_0_0.005,data/JRC_TMF_256_5000/A/jrc_tmf_2020_2023_amazon_bolivia_01_002048_000512.png,data/JRC_TMF_256_5000/B/jrc_tmf_2020_2023_amazon_bolivia_01_002048_000512.png,data/JRC_TMF_256_5000/label/jrc_tmf_2020_2023_amazon_bolivia_01_002048_000512.png,quality_report/human_audit_contact_sheets/audit_0002_jrc_tmf_2020_2023_amazon_bolivia_01_002048_000512.png,,,,,,,reviewer1,,
audit_0003,jrc_tmf_2020_2023_amazon_bolivia_01_001024_000512,train,positive,jrc_tmf_2020_2023_amazon_bolivia_01,amazon_bolivia_01,512,1024,0.9921417236,0.0030605497,199,65021,valid_0.99_1.00,change_0_0.005,data/JRC_TMF_256_5000/A/jrc_tmf_2020_2023_amazon_bolivia_01_001024_000512.png,data/JRC_TMF_256_5000/B/jrc_tmf_2020_2023_amazon_bolivia_01_001024_000512.png,data/JRC_TMF_256_5000/label/jrc_tmf_2020_2023_amazon_bolivia_01_001024_000512.png,quality_report/human_audit_contact_sheets/audit_0003_jrc_tmf_2020_2023_amazon_bolivia_01_001024_000512.png,,,,,,,reviewer1,,
audit_0004,jrc_tmf_2020_2023_amazon_bolivia_01_001280_004864,train,positive,jrc_tmf_2020_2023_amazon_bolivia_01,amazon_bolivia_01,4864,1280,0.8176422119,0.0284407950,1524,53585,valid_0.80_0.85,change_0.02_0.05,data/JRC_TMF_256_5000/A/jrc_tmf_2020_2023_amazon_bolivia_01_001280_004864.png,data/JRC_TMF_256_5000/B/jrc_tmf_2020_2023_amazon_bolivia_01_001280_004864.png,data/JRC_TMF_256_5000/label/jrc_tmf_2020_2023_amazon_bolivia_01_001280_004864.png,quality_report/human_audit_contact_sheets/audit_0004_jrc_tmf_2020_2023_amazon_bolivia_01_001280_004864.png,,,,,,,reviewer1,,
audit_0005,jrc_tmf_2020_2023_amazon_brazil_01_005120_000000,train,negative,jrc_tmf_2020_2023_amazon_brazil_01,amazon_brazil_01,0,5120,1.0000000000,0.0000000000,0,65536,valid_0.99_1.00,change_0,data/JRC_TMF_256_5000/A/jrc_tmf_2020_2023_amazon_brazil_01_005120_000000.png,data/JRC_TMF_256_5000/B/jrc_tmf_2020_2023_amazon_brazil_01_005120_000000.png,data/JRC_TMF_256_5000/label/jrc_tmf_2020_2023_amazon_brazil_01_005120_000000.png,quality_report/human_audit_contact_sheets/audit_0005_jrc_tmf_2020_2023_amazon_brazil_01_005120_000000.png,,,,,,,reviewer1,,
audit_0006,jrc_tmf_2020_2023_amazon_brazil_01_002048_006912,train,negative,jrc_tmf_2020_2023_amazon_brazil_01,amazon_brazil_01,6912,2048,1.0000000000,0.0000000000,0,65536,valid_0.99_1.00,change_0,data/JRC_TMF_256_5000/A/jrc_tmf_2020_2023_amazon_brazil_01_002048_006912.png,data/JRC_TMF_256_5000/B/jrc_tmf_2020_2023_amazon_brazil_01_002048_006912.png,data/JRC_TMF_256_5000/label/jrc_tmf_2020_2023_amazon_brazil_01_002048_006912.png,quality_report/human_audit_contact_sheets/audit_0006_jrc_tmf_2020_2023_amazon_brazil_01_002048_006912.png,,,,,,,reviewer1,,
audit_0007,jrc_tmf_2020_2023_amazon_brazil_01_000768_003328,train,negative,jrc_tmf_2020_2023_amazon_brazil_01,amazon_brazil_01,3328,768,1.0000000000,0.0000000000,0,65536,valid_0.99_1.00,change_0,data/JRC_TMF_256_5000/A/jrc_tmf_2020_2023_amazon_brazil_01_000768_003328.png,data/JRC_TMF_256_5000/B/jrc_tmf_2020_2023_amazon_brazil_01_000768_003328.png,data/JRC_TMF_256_5000/label/jrc_tmf_2020_2023_amazon_brazil_01_000768_003328.png,quality_report/human_audit_contact_sheets/audit_0007_jrc_tmf_2020_2023_amazon_brazil_01_000768_003328.png,,,,,,,reviewer1,,
audit_0008,jrc_tmf_2020_2023_amazon_brazil_01_004608_006912,val,positive,jrc_tmf_2020_2023_amazon_brazil_01,amazon_brazil_01,6912,4608,0.9742889404,0.0111352994,711,63851,valid_0.95_0.99,change_0.005_0.02,data/JRC_TMF_256_5000/A/jrc_tmf_2020_2023_amazon_brazil_01_004608_006912.png,data/JRC_TMF_256_5000/B/jrc_tmf_2020_2023_amazon_brazil_01_004608_006912.png,data/JRC_TMF_256_5000/label/jrc_tmf_2020_2023_amazon_brazil_01_004608_006912.png,quality_report/human_audit_contact_sheets/audit_0008_jrc_tmf_2020_2023_amazon_brazil_01_004608_006912.png,,,,,,,reviewer1,,
audit_0009,jrc_tmf_2020_2023_amazon_brazil_01_001536_004352,train,positive,jrc_tmf_2020_2023_amazon_brazil_01,amazon_brazil_01,4352,1536,0.8945007324,0.0026270001,154,58622,valid_0.85_0.95,change_0_0.005,data/JRC_TMF_256_5000/A/jrc_tmf_2020_2023_amazon_brazil_01_001536_004352.png,data/JRC_TMF_256_5000/B/jrc_tmf_2020_2023_amazon_brazil_01_001536_004352.png,data/JRC_TMF_256_5000/label/jrc_tmf_2020_2023_amazon_brazil_01_001536_004352.png,quality_report/human_audit_contact_sheets/audit_0009_jrc_tmf_2020_2023_amazon_brazil_01_001536_004352.png,,,,,,,reviewer1,,
audit_0010,jrc_tmf_2020_2023_amazon_brazil_01_004608_006144,val,positive,jrc_tmf_2020_2023_amazon_brazil_01,amazon_brazil_01,6144,4608,0.9251708984,0.0114296081,693,60632,valid_0.85_0.95,change_0.005_0.02,data/JRC_TMF_256_5000/A/jrc_tmf_2020_2023_amazon_brazil_01_004608_006144.png,data/JRC_TMF_256_5000/B/jrc_tmf_2020_2023_amazon_brazil_01_004608_006144.png,data/JRC_TMF_256_5000/label/jrc_tmf_2020_2023_amazon_brazil_01_004608_006144.png,quality_report/human_audit_contact_sheets/audit_0010_jrc_tmf_2020_2023_amazon_brazil_01_004608_006144.png,,,,,,,reviewer1,,
