sample_id,filename,split,source,sample_type,x,y,valid_pixels,change_pixels,ignore_pixels,valid_ratio,change_ratio,label_values
jrc_tmf_2020_2023_amazon_bolivia_01_000000_000512,jrc_tmf_2020_2023_amazon_bolivia_01_000000_000512.png,train,jrc_tmf_2020_2023_amazon_bolivia_01,positive,512,0,53701,727,11835,0.8194122314453125,0.013537922943706822,0|1|255
jrc_tmf_2020_2023_amazon_bolivia_01_000000_000768,jrc_tmf_2020_2023_amazon_bolivia_01_000000_000768.png,train,jrc_tmf_2020_2023_amazon_bolivia_01,positive,768,0,62432,463,3104,0.95263671875,0.007416068682726807,0|1|255
jrc_tmf_2020_2023_amazon_bolivia_01_000000_001280,jrc_tmf_2020_2023_amazon_bolivia_01_000000_001280.png,train,jrc_tmf_2020_2023_amazon_bolivia_01,positive,1280,0,61966,872,3570,0.945526123046875,0.014072233160120066,0|1|255
jrc_tmf_2020_2023_amazon_bolivia_01_000000_001536,jrc_tmf_2020_2023_amazon_bolivia_01_000000_001536.png,train,jrc_tmf_2020_2023_amazon_bolivia_01,positive,1536,0,64328,3114,1208,0.9815673828125,0.04840815818927994,0|1|255
jrc_tmf_2020_2023_amazon_bolivia_01_000000_001792,jrc_tmf_2020_2023_amazon_bolivia_01_000000_001792.png,train,jrc_tmf_2020_2023_amazon_bolivia_01,positive,1792,0,62106,135,3430,0.947662353515625,0.002173703023862429,0|1|255
jrc_tmf_2020_2023_amazon_bolivia_01_000000_002048,jrc_tmf_2020_2023_amazon_bolivia_01_000000_002048.png,train,jrc_tmf_2020_2023_amazon_bolivia_01,positive,2048,0,52509,350,13027,0.8012237548828125,0.006665524005408596,0|1|255
jrc_tmf_2020_2023_amazon_bolivia_01_000000_002304,jrc_tmf_2020_2023_amazon_bolivia_01_000000_002304.png,train,jrc_tmf_2020_2023_amazon_bolivia_01,positive,2304,0,53045,794,12491,0.8094024658203125,0.014968423037044019,0|1|255
jrc_tmf_2020_2023_amazon_bolivia_01_000000_002560,jrc_tmf_2020_2023_amazon_bolivia_01_000000_002560.png,train,jrc_tmf_2020_2023_amazon_bolivia_01,positive,2560,0,56057,858,9479,0.8553619384765625,0.015305849403285941,0|1|255
jrc_tmf_2020_2023_amazon_bolivia_01_000000_002816,jrc_tmf_2020_2023_amazon_bolivia_01_000000_002816.png,train,jrc_tmf_2020_2023_amazon_bolivia_01,positive,2816,0,53418,222,12118,0.815093994140625,0.004155902504773672,0|1|255
jrc_tmf_2020_2023_amazon_bolivia_01_000000_003072,jrc_tmf_2020_2023_amazon_bolivia_01_000000_003072.png,val,jrc_tmf_2020_2023_amazon_bolivia_01,positive,3072,0,53438,812,12098,0.815399169921875,0.015195179460309143,0|1|255
jrc_tmf_2020_2023_amazon_bolivia_01_000000_003584,jrc_tmf_2020_2023_amazon_bolivia_01_000000_003584.png,val,jrc_tmf_2020_2023_amazon_bolivia_01,positive,3584,0,58776,900,6760,0.8968505859375,0.015312372396896692,0|1|255
jrc_tmf_2020_2023_amazon_bolivia_01_000000_004864,jrc_tmf_2020_2023_amazon_bolivia_01_000000_004864.png,train,jrc_tmf_2020_2023_amazon_bolivia_01,positive,4864,0,59388,891,6148,0.90618896484375,0.015003030915336432,0|1|255
jrc_tmf_2020_2023_amazon_bolivia_01_000000_005632,jrc_tmf_2020_2023_amazon_bolivia_01_000000_005632.png,train,jrc_tmf_2020_2023_amazon_bolivia_01,positive,5632,0,65369,176,167,0.9974517822265625,0.0026924077161957502,0|1|255
jrc_tmf_2020_2023_amazon_bolivia_01_000000_006400,jrc_tmf_2020_2023_amazon_bolivia_01_000000_006400.png,test,jrc_tmf_2020_2023_amazon_bolivia_01,positive,6400,0,58230,414,7306,0.888519287109375,0.0071097372488408035,0|1|255
jrc_tmf_2020_2023_amazon_bolivia_01_000000_006656,jrc_tmf_2020_2023_amazon_bolivia_01_000000_006656.png,test,jrc_tmf_2020_2023_amazon_bolivia_01,positive,6656,0,60775,135,4761,0.9273529052734375,0.002221308103661045,0|1|255
jrc_tmf_2020_2023_amazon_bolivia_01_000256_000000,jrc_tmf_2020_2023_amazon_bolivia_01_000256_000000.png,train,jrc_tmf_2020_2023_amazon_bolivia_01,positive,0,256,52948,1839,12588,0.80792236328125,0.03473219007327944,0|1|255
jrc_tmf_2020_2023_amazon_bolivia_01_000256_000512,jrc_tmf_2020_2023_amazon_bolivia_01_000256_000512.png,train,jrc_tmf_2020_2023_amazon_bolivia_01,positive,512,256,56172,642,9364,0.85711669921875,0.011429181798760948,0|1|255
jrc_tmf_2020_2023_amazon_bolivia_01_000256_000768,jrc_tmf_2020_2023_amazon_bolivia_01_000256_000768.png,train,jrc_tmf_2020_2023_amazon_bolivia_01,positive,768,256,62129,590,3407,0.9480133056640625,0.009496370455021004,0|1|255
jrc_tmf_2020_2023_amazon_bolivia_01_000256_001024,jrc_tmf_2020_2023_amazon_bolivia_01_000256_001024.png,train,jrc_tmf_2020_2023_amazon_bolivia_01,positive,1024,256,62639,1804,2897,0.9557952880859375,0.02879994891361612,0|1|255
jrc_tmf_2020_2023_amazon_bolivia_01_000256_001280,jrc_tmf_2020_2023_amazon_bolivia_01_000256_001280.png,train,jrc_tmf_2020_2023_amazon_bolivia_01,positive,1280,256,63720,813,1816,0.9722900390625,0.01275894538606403,0|1|255
jrc_tmf_2020_2023_amazon_bolivia_01_000256_001536,jrc_tmf_2020_2023_amazon_bolivia_01_000256_001536.png,train,jrc_tmf_2020_2023_amazon_bolivia_01,positive,1536,256,59377,146,6159,0.9060211181640625,0.0024588645435101135,0|1|255
jrc_tmf_2020_2023_amazon_bolivia_01_000256_001792,jrc_tmf_2020_2023_amazon_bolivia_01_000256_001792.png,train,jrc_tmf_2020_2023_amazon_bolivia_01,positive,1792,256,54293,220,11243,0.8284454345703125,0.004052087746118284,0|1|255
jrc_tmf_2020_2023_amazon_bolivia_01_000256_002304,jrc_tmf_2020_2023_amazon_bolivia_01_000256_002304.png,train,jrc_tmf_2020_2023_amazon_bolivia_01,positive,2304,256,63574,262,1962,0.970062255859375,0.00412118161512568,0|1|255
jrc_tmf_2020_2023_amazon_bolivia_01_000256_003328,jrc_tmf_2020_2023_amazon_bolivia_01_000256_003328.png,val,jrc_tmf_2020_2023_amazon_bolivia_01,positive,3328,256,59315,272,6221,0.9050750732421875,0.004585686588552643,0|1|255
